period,demand_type,demand_mwh,temperature_2m,fueltype,type-name_y,generation_mwh
2026-06-08 23:00:00,Demand,77415,29.1,BAT,Battery storage,-1150
2026-06-08 23:00:00,Demand,77415,29.1,COL,Coal,7329
2026-06-08 23:00:00,Demand,77415,29.1,NG,Natural Gas,25388
2026-06-08 23:00:00,Demand,77415,29.1,NUC,Nuclear,5007
2026-06-08 23:00:00,Demand,77415,29.1,OTH,Other,82
2026-06-08 23:00:00,Demand,77415,29.1,SUN,Solar,21722
2026-06-08 23:00:00,Demand,77415,29.1,WAT,Hydro,59
2026-06-08 23:00:00,Demand,77415,29.1,WND,Wind,19271
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,BAT,Battery storage,-1150
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,COL,Coal,7329
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,NG,Natural Gas,25388
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,NUC,Nuclear,5007
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,OTH,Other,82
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,SUN,Solar,21722
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,WAT,Hydro,59
2026-06-08 23:00:00,Day-ahead demand forecast,74056,29.1,WND,Wind,19271
2026-06-08 23:00:00,Net generation,77707,29.1,BAT,Battery storage,-1150
2026-06-08 23:00:00,Net generation,77707,29.1,COL,Coal,7329
2026-06-08 23:00:00,Net generation,77707,29.1,NG,Natural Gas,25388
2026-06-08 23:00:00,Net generation,77707,29.1,NUC,Nuclear,5007
2026-06-08 23:00:00,Net generation,77707,29.1,OTH,Other,82
2026-06-08 23:00:00,Net generation,77707,29.1,SUN,Solar,21722
2026-06-08 23:00:00,Net generation,77707,29.1,WAT,Hydro,59
2026-06-08 23:00:00,Net generation,77707,29.1,WND,Wind,19271
2026-06-08 23:00:00,Total interchange,291,29.1,BAT,Battery storage,-1150
2026-06-08 23:00:00,Total interchange,291,29.1,COL,Coal,7329
2026-06-08 23:00:00,Total interchange,291,29.1,NG,Natural Gas,25388
2026-06-08 23:00:00,Total interchange,291,29.1,NUC,Nuclear,5007
2026-06-08 23:00:00,Total interchange,291,29.1,OTH,Other,82
2026-06-08 23:00:00,Total interchange,291,29.1,SUN,Solar,21722
2026-06-08 23:00:00,Total interchange,291,29.1,WAT,Hydro,59
2026-06-08 23:00:00,Total interchange,291,29.1,WND,Wind,19271
2026-06-08 22:00:00,Demand,77578,29.2,BAT,Battery storage,-847
2026-06-08 22:00:00,Demand,77578,29.2,COL,Coal,7032
2026-06-08 22:00:00,Demand,77578,29.2,NG,Natural Gas,23601
2026-06-08 22:00:00,Demand,77578,29.2,NUC,Nuclear,5007
2026-06-08 22:00:00,Demand,77578,29.2,OTH,Other,81
2026-06-08 22:00:00,Demand,77578,29.2,SUN,Solar,23910
2026-06-08 22:00:00,Demand,77578,29.2,WAT,Hydro,42
2026-06-08 22:00:00,Demand,77578,29.2,WND,Wind,19016
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,BAT,Battery storage,-847
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,COL,Coal,7032
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,NG,Natural Gas,23601
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,NUC,Nuclear,5007
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,OTH,Other,81
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,SUN,Solar,23910
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,WAT,Hydro,42
2026-06-08 22:00:00,Day-ahead demand forecast,73874,29.2,WND,Wind,19016
2026-06-08 22:00:00,Net generation,77842,29.2,BAT,Battery storage,-847
2026-06-08 22:00:00,Net generation,77842,29.2,COL,Coal,7032
2026-06-08 22:00:00,Net generation,77842,29.2,NG,Natural Gas,23601
2026-06-08 22:00:00,Net generation,77842,29.2,NUC,Nuclear,5007
2026-06-08 22:00:00,Net generation,77842,29.2,OTH,Other,81
2026-06-08 22:00:00,Net generation,77842,29.2,SUN,Solar,23910
